幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.39500,31.74500,31.71700,31.62400,31.50600,31.39000,31.26500,31.15400,31.03700,本行賣出,32.06500,31.84500,31.82300,31.73700,31.62900,31.52500,31.41000,31.30800,31.20200,
HKD,本行買入,3.91100,4.03700,4.03200,4.02100,4.00900,3.99700,3.98300,3.97000,3.95600,本行賣出,4.11500,4.09700,4.09200,4.08200,4.07100,4.05700,4.04500,4.03400,4.02200,
GBP,本行買入,39.23000,40.24000,40.18100,40.06400,39.93800,39.78700,39.63400,39.48200,39.32900,本行賣出,41.35000,40.64000,40.59300,40.49900,40.37500,40.22600,40.08700,39.94700,39.80800,
AUD,本行買入,20.37000,20.66000,20.64100,20.60300,20.55600,20.50000,20.44100,20.38400,20.32300,本行賣出,21.15000,20.86000,20.83800,20.79400,20.74800,20.69000,20.64100,20.58900,20.53500,
CAD,本行買入,23.17000,23.57000,23.53700,23.47000,23.40400,23.32600,23.24700,23.16800,23.08900,本行賣出,24.08000,23.77000,23.74500,23.69500,23.63100,23.55100,23.48100,23.41200,23.34200,
SGD,本行買入,23.01000,23.50000,23.47600,23.42700,23.38200,23.33100,23.27800,23.22500,23.17200,本行賣出,23.92000,23.68000,23.66500,23.63400,23.58900,23.53700,23.49400,23.45100,23.40700,
CHF,本行買入,35.46000,36.14000,36.12500,36.09600,36.08900,36.07300,36.06200,36.05000,36.03900,本行賣出,36.66000,36.39000,36.39000,36.39100,36.38800,36.37100,36.37600,36.38000,36.38500,
JPY,本行買入,0.21040,0.21770,0.21780,0.21790,0.21810,0.21830,0.21850,0.21880,0.21900,本行賣出,0.22320,0.22170,0.22180,0.22200,0.22230,0.22260,0.22300,0.22330,0.22370,
ZAR,本行買入,0.00000,1.64800,1.64400,1.63500,1.62400,1.61300,1.60200,1.59000,1.57900,本行賣出,0.00000,1.72800,1.72400,1.71700,1.70700,1.69500,1.68500,1.67400,1.66400,
SEK,本行買入,2.59000,2.93000,2.92700,2.92100,2.91500,2.90800,2.90100,2.89400,2.88700,本行賣出,3.11000,3.03000,3.02800,3.02500,3.01900,3.01200,3.00600,3.00100,2.99500,
NZD,本行買入,18.66000,19.04000,19.00900,18.94800,18.88600,18.81500,18.74100,18.66700,18.59300,本行賣出,19.51000,19.24000,19.21800,19.17500,19.11400,19.04300,18.97700,18.91000,18.84400,
THB,本行買入,0.77810,0.89050,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.96810,0.93050,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.49960,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.63160,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00173,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00243,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,34.15000,34.77000,34.74200,34.68500,34.59400,34.51500,34.43800,34.36000,34.23300,本行賣出,35.49000,35.17000,35.14900,35.10700,35.02800,34.97100,34.91100,34.85100,34.79100,
KRW,本行買入,0.02227,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02617,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00112,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,5.89500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.41500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.29400,4.36600,4.36420,4.36070,4.35470,4.34920,4.34450,4.33800,4.33530,本行賣出,4.45600,4.41600,4.41440,4.41110,4.40740,4.40340,4.40030,4.39720,4.39410,
